ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
32.0,-70076.09855359422,-1718.9915255266835,593.0539828073624,52.31937632743936,4.827602407925912,1946.0,0.5738,377.01,3500.0,88.1,26.43,77919.0,96378.0,EJU42KM_1219,0.07853542082707216
47.0,-67027.16632248032,-1617.9728195184884,874.3409743182531,52.32066681410132,4.872435719312563,2869.0,0.6097,399.3,3500.0,88.1,25.71,77893.0,91371.0,EJU42KM_1219,0.06977343288222769
63.0,-63796.50219084834,-1510.9328849524375,1155.627965871207,52.322015701439284,4.91994415849981,3791.0,0.6444,420.65,3500.0,88.1,24.95,77868.0,86818.0,EJU42KM_1219,0.061470825852065765
79.0,-60391.929649872516,-1398.1309336167267,1436.914957454261,52.32341657680858,4.9700131145644235,4714.0,0.6776,440.89,3500.0,88.1,24.18,77844.0,82691.0,EJU42KM_1219,0.05402783382565494
95.0,-56822.52291486086,-1279.8676168753311,1718.2019490599253,52.32486254808754,5.022509563754538,5637.0,0.7092,459.93,3500.0,88.1,23.41,77821.0,78963.0,EJU42KM_1219,0.04731768915501501
111.0,-53098.02036610493,-1156.4655915055712,1999.48894068323,52.32634654222138,5.077290686564596,6560.0,0.7391,477.77,3500.0,88.1,22.66,77798.0,75592.0,EJU42KM_1219,0.041038249759344295
127.0,-49228.35586962641,-1028.2539911900985,2280.7759323207606,52.32786153710424,5.134210754377287,7483.0,0.7674,494.4,3500.0,88.1,21.94,77776.0,72545.0,EJU42KM_1219,0.03521885707240498
142.0,-45223.30411105503,-895.5566755480586,2562.0629239701348,52.329400730481375,5.19312634211653,8406.0,0.7941,509.89,3500.0,88.1,21.24,77755.0,69784.0,EJU42KM_1219,0.030740238216196383
158.0,-41092.2269964236,-758.6838277651694,2843.349915629631,52.33095765404324,5.253900056767855,9329.0,0.8193,524.29,3500.0,88.1,20.59,77734.0,67278.0,EJU42KM_1219,0.02832573088216417
174.0,-36844.01057579877,-617.929864718881,3124.6369072983507,52.33252620380826,5.316401464951488,10251.0,0.82,522.95,3500.0,88.1,20.45,77714.0,66778.0,EJU42KM_1219,0.025998748148007074
190.0,-32606.763534090398,-477.5393452981407,3405.9238989634127,52.33405785087958,5.378745856835294,11174.0,0.82,521.16,3500.0,88.1,20.51,77693.0,66993.0,EJU42KM_1219,0.02373203273529473
206.0,-28384.116972617776,-337.6325768036261,3687.210890624151,52.33555157555786,5.440879675556273,12097.0,0.82,519.37,3500.0,88.1,20.55,77673.0,67153.0,EJU42KM_1219,0.021405388432613765
221.0,-24176.121546675415,-198.21123746651767,3968.4978822800526,52.33700769461138,5.502802041085586,13020.0,0.82,517.57,3500.0,88.1,20.58,77652.0,67259.0,EJU42KM_1219,0.019262702359808523
237.0,-19982.828442438404,-59.27702310893662,4249.784873930593,52.33842652518133,5.564512067380475,13943.0,0.82,515.76,3500.0,88.1,20.6,77631.0,67309.0,EJU42KM_1219,0.017361552459589598
253.0,-15804.289386299954,79.1683525466893,4531.0718655752335,52.33980838478229,5.626008862245574,14866.0,0.82,513.95,3500.0,88.1,20.59,77611.0,67303.0,EJU42KM_1219,0.01643891594840408
269.0,-11640.556654440323,217.12315756060025,4812.358857213434,52.341153591302636,5.687291527196316,15789.0,0.82,512.13,3500.0,88.1,20.58,77590.0,67242.0,EJU42KM_1219,0.015571225572740436
285.0,-7491.68308263491,354.5856414507652,5093.645848844648,52.34246246300425,5.748359157345842,16711.0,0.82,510.3,3500.0,88.1,20.55,77570.0,67125.0,EJU42KM_1219,0.014752186700566616
301.0,-3357.722076309269,491.5540348597684,5374.932840468336,52.343735318505175,5.809210841543656,17634.0,0.82,508.47,3500.0,88.1,20.5,77549.0,66951.0,EJU42KM_1219,0.014694964985071281
316.0,761.2723791510042,628.0265492132542,5656.219832083964,52.34497245794259,5.869845678523176,18557.0,0.82,506.63,3500.0,88.1,20.44,77529.0,66723.0,EJU42KM_1219,0.014649411629093707
332.0,4865.24570782716,764.001376369647,5937.506823691017,52.34617414131608,5.930262716257314,19480.0,0.82,504.78,3500.0,88.1,20.36,77508.0,66439.0,EJU42KM_1219,0.014570617408127446
348.0,8954.142732422179,899.4766882608641,6218.7938152890165,52.34734076633593,5.990461027812463,20403.0,0.82,502.93,3500.0,88.1,20.27,77488.0,66101.0,EJU42KM_1219,0.005567516516163251
